0,1
3998.7667285432,0.1795237809
3997.8024732433,0.1795195937
3996.8382179434,0.1795162261
3995.8739626436,0.1794776767
3994.9097073437,0.1794430614
3993.9454520438,0.1794998646
3992.981196744,0.1795696467
3992.0169414441,0.1795431525
3991.0526861442,0.1794808209
3990.0884308444,0.1794885695
3989.1241755445,0.1795560718
3988.1599202446,0.17961438
3987.1956649448,0.1796162874
3986.2314096449,0.1795523316
3985.267154345,0.1794498116
3984.3028990452,0.1793604195
3983.3386437453,0.1793665886
3982.3743884454,0.1794726998
3981.4101331456,0.179572463
3980.4458778457,0.1796291471
3979.4816225458,0.1796779782
3978.517367246,0.1796862483
3977.5531119461,0.1796045452
3976.5888566462,0.1794863641
3975.6246013464,0.1794368327
3974.6603460465,0.1794796586
3973.6960907466,0.1795255095
3972.7318354468,0.1795395911
3971.7675801469,0.179608807
3970.803324847,0.1796840727
3969.8390695472,0.1796598434
3968.8748142473,0.1796486676
3967.9105589474,0.1797264963
3966.9463036476,0.1797920465
3965.9820483477,0.1798006594
3965.0177930479,0.1797794551
3964.053537748,0.1797422618
3963.0892824481,0.1796328127
3962.1250271483,0.1794891059
3961.1607718484,0.1795251071
3960.1965165485,0.1796898395
3959.2322612487,0.1797522008
3958.2680059488,0.179711774
3957.3037506489,0.1796776056
3956.3394953491,0.1797070503
3955.3752400492,0.1797722578
3954.4109847493,0.1797705144
3953.4467294495,0.17970258
3952.4824741496,0.1796834618
3951.5182188497,0.1795951128
3950.5539635499,0.1793202311
3949.58970825,0.1791531891
3948.6254529501,0.17919074
3947.6611976503,0.1793076247
3946.6969423504,0.1795624346
3945.7326870505,0.1797568798
3944.7684317507,0.1796504706
3943.8041764508,0.1792836338
3942.8399211509,0.1790159047
3941.8756658511,0.1792703569
3940.9114105512,0.1797041446
3939.9471552513,0.1798608303
3938.9828999515,0.1798361093
3938.0186446516,0.1798584908
3937.0543893517,0.1799059808
3936.0901340519,0.1798254102
3935.125878752,0.1796158701
3934.1616234521,0.1793961823
3933.1973681523,0.1791426688
3932.2331128524,0.1789521426
3931.2688575526,0.1790161431
3930.3046022527,0.1791561842
3929.3403469528,0.17932567
3928.376091653,0.1796275228
3927.4118363531,0.1798531115
3926.4475810532,0.1797042787
3925.4833257534,0.1791927516
3924.5190704535,0.1788738072
3923.5548151536,0.1791678518
3922.5905598538,0.1796555966
3921.6263045539,0.1798231453
3920.662049254,0.1796074063
3919.6977939542,0.1794790477
3918.7335386543,0.1795964837
3917.7692833544,0.1794767827
3916.8050280546,0.1792397946
3915.8407727547,0.1794750243
3914.8765174548,0.1798904091
3913.912262155,0.1801074594
3912.9480068551,0.1801766455
3911.9837515552,0.180196017
3911.0194962554,0.1801927537
3910.0552409555,0.1801911443
3909.0909856556,0.1801973581
3908.1267303558,0.180122748
3907.1624750559,0.1797429174
3906.198219756,0.1791271269
3905.2339644562,0.1787726432
3904.2697091563,0.1787659377
3903.3054538564,0.1787579209
3902.3411985566,0.1787844896
3901.3769432567,0.1789843589
3900.4126879568,0.1791357696
3899.448432657,0.1790003031
3898.4841773571,0.1789960116
3897.5199220573,0.179468289
3896.5556667574,0.1799392551
3895.5914114575,0.1800292879
3894.6271561577,0.1797904521
3893.6629008578,0.1794724017
3892.6986455579,0.1791628152
3891.7343902581,0.1789193004
3890.7701349582,0.1791335791
3889.8058796583,0.179664284
3888.8416243585,0.1800101995
3887.8773690586,0.1800143272
3886.9131137587,0.179673031
3885.9488584589,0.1790002733
3884.984603159,0.1786702424
3884.0203478591,0.1789175868
3883.0560925593,0.1792365015
3882.0918372594,0.1792718917
3881.1275819595,0.1788779646
3880.1633266597,0.1787476093
3879.1990713598,0.1794066131
3878.2348160599,0.180006057
3877.2705607601,0.1802278906
3876.3063054602,0.1801104397
3875.3420501603,0.1795780212
3874.3777948605,0.178816691
3873.4135395606,0.1788069606
3872.4492842607,0.1792160869
3871.4850289609,0.1792681813
3870.520773661,0.1789808124
3869.5565183611,0.1787959784
3868.5922630613,0.1791929603
3867.6280077614,0.179644078
3866.6637524615,0.1797076166
3865.6994971617,0.1792555898
3864.7352418618,0.1786742806
3863.770986562,0.1787352413
3862.8067312621,0.1790593415
3861.8424759622,0.1793365031
3860.8782206624,0.1797281355
3859.9139653625,0.180061236
3858.9497100626,0.1799995005
3857.9854547628,0.1794965416
3857.0211994629,0.179021433
3856.056944163,0.179313764
3855.0926888632,0.1806097627
3854.1284335633,0.1815854162
3853.1641782634,0.1799120009
3852.1999229636,0.1788998991
3851.2356676637,0.1789778024
3850.2714123638,0.1791759729
3849.307157064,0.1795220375
3848.3429017641,0.179924354
3847.3786464642,0.1800714582
3846.4143911644,0.179936111
3845.4501358645,0.1796353906
3844.4858805646,0.1792159826
3843.5216252648,0.179056406
3842.5573699649,0.1792590916
3841.593114665,0.1790663451
3840.6288593652,0.1783376485
3839.6646040653,0.1781676114
3838.7003487654,0.1787484586
3837.7360934656,0.1788906455
3836.7718381657,0.1784775555
3835.8075828658,0.1784487665
3834.843327566,0.1788938493
3833.8790722661,0.1794607043
3832.9148169662,0.179690823
3831.9505616664,0.1795635521
3830.9863063665,0.1796320379
3830.0220510667,0.1799667925
3829.0577957668,0.1800417453
3828.0935404669,0.1797281802
3827.1292851671,0.179347679
3826.1650298672,0.1793817878
3825.2007745673,0.1796784848
3824.2365192675,0.1797597706
3823.2722639676,0.1796160489
3822.3080086677,0.1792959869
3821.3437533679,0.1784288138
3820.379498068,0.1779543906
3819.4152427681,0.1785517782
3818.4509874683,0.1792199761
3817.4867321684,0.1795668155
